Horario del grupo 1B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE:Salon 8,,APE:Salon 3,PE:Salon 8,,
8-9,PE:Salon 8,,APE:Salon 3,,I1:Salon 4,
9-10,I1:Salon 4,I1:Salon 3,I1:Salon 3,I1:Salon 3,APE:Salon 3,
10-11,I1:Salon 4,I1:Salon 3,I1:Salon 3,I1:Salon 3,CCS:Salon 3,
11-12,TGTI1:Salon 2,PE:Salon 8,PE:Salon 8,CCS:Salon 7,AL:Salon 5,
12-13,,APE:Salon 3,,CCS:Salon 7,AL:Salon 5,
13-14,,TGTI1:Salon 2,VS:Salon 3,APE:Salon 5,,
14-15,FCS:Salon 2,VS:Salon 5,AL:Salon 5,AL:Salon 6,,
15-16,CCS:Salon 7,VS:Salon 5,AL:Salon 5,AL:Salon 6,FCS:Salon 5,
16-17,,CCS:Salon 7,FCS:Salon 3,FCS:Salon 3,FCS:Salon 5,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
