Horario del grupo 0A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,I0:Salon 2,I0:Salon 1,I0:Salon 4,I0:Salon 6,I0:Salon 7,
8-9,I0:Salon 2,I0:Salon 1,I0:Salon 4,I0:Salon 6,I0:Salon 7,
9-10,I0:Salon 2,I0:Salon 1,I0:Salon 4,I0:Salon 6,I0:Salon 7,
10-11,I0:Salon 2,I0:Salon 1,I0:Salon 4,I0:Salon 6,I0:Salon 7,
11-12,I0:Salon 2,I0:Salon 1,I0:Salon 4,I0:Salon 6,I0:Salon 7,
12-13,MAT:Salon 2,MAT:Salon 0,MAT:Salon 4,MAT:Salon 3,MAT:Salon 3,
13-14,,,MAT:Salon 4,,TGTI0:Salon 3,
14-15,,,,TGTI0:Salon 3,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
