Horario del grupo 0D
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,I0:Salon 4,I0:Salon 6,I0:Salon 6,I0:Salon 4,I0:Salon 2,
8-9,I0:Salon 4,I0:Salon 6,I0:Salon 6,I0:Salon 4,I0:Salon 2,
9-10,I0:Salon 4,I0:Salon 6,I0:Salon 6,I0:Salon 4,I0:Salon 2,
10-11,I0:Salon 4,I0:Salon 6,I0:Salon 6,I0:Salon 4,I0:Salon 2,
11-12,I0:Salon 4,I0:Salon 6,I0:Salon 6,I0:Salon 4,I0:Salon 2,
12-13,MAT:Salon 4,TGTI0:Salon 3,MAT:Salon 6,TGTI0:Salon 4,MAT:Salon 2,
13-14,MAT:Salon 4,,MAT:Salon 6,,,
14-15,,,MAT:Salon 6,,,
15-16,,,,,,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
