Horario del salon 0
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,TU-9A,TU-9A,MTL-9A,TU-9A,TU-9A,
8-9,TU-9A,TU-9A,MTL-9A,,,
9-10,SACD-9A,FEP-9A,MTL-9A,FEP-9A,TGTI9-9A,
10-11,SACD-9A,FEP-9A,TU-9A,FEP-9A,DFI-9A,
11-12,I9-9A,I9-9A,I9-9A,,DFI-9A,
12-13,MTL-9A,DFI-9A,DFI-9A,MCO-4A,GDE-9A,
13-14,MTL-9A,,DFI-9A,MCO-4A,GDE-9A,
14-15,MTL-9A,TGTI9-9A,GDE-9A,GDE-9A,,
15-16,,SACD-9A,SACD-9A,GDE-9A,FEP-9A,
16-17,DFI-9A,TGTI4-4A,SACD-9A,CCS-1A,FEP-9A,
17-18,,,,,,
18-19,,,,,,
19-20,I4-4C,I4-4C,I4-4C,I4-4C,I4-4C,
20-21,,,,,,
