Horario del profesor 
Ficticio 5
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE 1A,PE 1A,PE 1A,,PE 1A,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,PE 1A,,
12-13,,,SCOL 7A,,,
13-14,,,SCOL 7A,,,
14-15,SCOL 7A,,,,,
15-16,SCOL 7A,,,,SCOL 7A,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,

Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,1,1,1,,1,
8-9,,,,,,
9-10,,,,,,
10-11,,,,,,
11-12,,,,1,,
12-13,,,1,,,
13-14,,,1,,,
14-15,1,,,,,
15-16,1,,,,1,
16-17,,,,,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
PE:1000,SCOL:1000,
