Horario del grupo 1B
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,AL:Salon 3,APE:Salon 4,PE:Salon 8,PE:Salon 8,,
8-9,AL:Salon 3,APE:Salon 4,PE:Salon 8,AL:Salon 3,I1:Salon 3,
9-10,I1:Salon 3,I1:Salon 4,I1:Salon 3,I1:Salon 3,APE:Salon 3,
10-11,I1:Salon 3,I1:Salon 4,I1:Salon 3,I1:Salon 3,,
11-12,PE:Salon 8,PE:Salon 8,FCS:Salon 3,CCS:Salon 7,,
12-13,CCS:Salon 7,,AL:Salon 5,APE:Salon 4,,
13-14,CCS:Salon 7,VS:Salon 2,,APE:Salon 4,FCS:Salon 3,
14-15,FCS:Salon 3,VS:Salon 2,TGTI1:Salon 2,FCS:Salon 4,VS:Salon 3,
15-16,,,CCS:Salon 7,FCS:Salon 4,AL:Salon 5,
16-17,TGTI1:Salon 7,,CCS:Salon 7,,AL:Salon 5,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
