Horario del grupo 1C
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE:Salon 2,PE:Salon 2,APE:Salon 2,,APE:Salon 2,
8-9,PE:Salon 2,PE:Salon 2,,APE:Salon 2,I1:Salon 2,
9-10,I1:Salon 2,I1:Salon 2,I1:Salon 2,I1:Salon 2,CCS:Salon 7,
10-11,I1:Salon 2,I1:Salon 2,I1:Salon 2,I1:Salon 2,VS:Salon 2,
11-12,APE:Salon 2,APE:Salon 2,PE:Salon 2,FCS:Salon 2,AL:Salon 2,
12-13,FCS:Salon 2,,CCS:Salon 1,AL:Salon 2,AL:Salon 2,
13-14,FCS:Salon 2,CCS:Salon 7,AL:Salon 5,AL:Salon 2,,
14-15,TGTI1:Salon 2,,AL:Salon 5,CCS:Salon 7,,
15-16,VS:Salon 2,,,CCS:Salon 7,FCS:Salon 7,
16-17,VS:Salon 2,FCS:Salon 2,,TGTI1:Salon 2,,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
