Horario del grupo 9A
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,DFI:Salon 0,,,,DFI:Salon 0,
8-9,,,,,,
9-10,FEP:Salon 0,TU:Salon 0,FEP:Salon 0,TU:Salon 0,TU:Salon 0,
10-11,FEP:Salon 0,TU:Salon 0,FEP:Salon 0,TU:Salon 0,TU:Salon 0,
11-12,I9:Salon 0,I9:Salon 0,I9:Salon 0,I9:Salon 0,MTL:Salon 0,
12-13,MTL:Salon 0,SACD:Salon 0,SACD:Salon 0,I9:Salon 0,MTL:Salon 0,
13-14,MTL:Salon 0,DFI:Salon 0,SACD:Salon 0,GDE:Salon 0,MTL:Salon 0,
14-15,MTL:Salon 0,FEP:Salon 0,GDE:Salon 0,GDE:Salon 0,TGTI9:Salon 0,
15-16,TU:Salon 0,FEP:Salon 0,DFI:Salon 0,DFI:Salon 0,GDE:Salon 0,
16-17,SACD:Salon 0,TGTI9:Salon 0,DFI:Salon 0,SACD:Salon 0,GDE:Salon 0,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
