Horario del grupo 1D
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,APE:Salon 5,AL:Salon 3,AL:Salon 3,AL:Salon 3,PE:Salon 1,
8-9,APE:Salon 5,,AL:Salon 3,,I1:Salon 4,
9-10,I1:Salon 4,I1:Salon 6,I1:Salon 4,I1:Salon 4,,
10-11,I1:Salon 4,I1:Salon 6,I1:Salon 4,I1:Salon 4,APE:Salon 3,
11-12,CCS:Salon 7,CCS:Salon 7,APE:Salon 6,APE:Salon 3,TGTI1:Salon 7,
12-13,,PE:Salon 6,VS:Salon 6,,,
13-14,PE:Salon 1,PE:Salon 6,CCS:Salon 7,TGTI1:Salon 7,AL:Salon 6,
14-15,PE:Salon 1,,CCS:Salon 7,CCS:Salon 2,AL:Salon 6,
15-16,VS:Salon 6,FCS:Salon 6,FCS:Salon 6,,,
16-17,FCS:Salon 6,,FCS:Salon 6,VS:Salon 6,FCS:Salon 6,
17-18,,,,,,
18-19,,,,,,
19-20,,,,,,
20-21,,,,,,
