Clave,Grupo,Curso,Profesor,Lunes,Martes,Miercoles,Jueves,Viernes,L-Sa,M-Sa,Mi-Sa,Ju-Sa,Vi-Sa,L-rho,M-rho,Mi-rho,Ju-rho,Vi-rho,L-phi,M-phi,Mi-phi,Ju-Phi,Vi-Phi
VS,1A,VALORES DEL SER,Profesor 1,14--15,12--13,-,-,15--16,S10,S6,-,-,S7,1.0,0.625,0.0,0.0,0.75,1,3,0.0,0.0,2,
CCS,1B,CALIDAD EN LA CADENA DE SUMINISTRO,Profesor 2,12--14,-,15--17,11--12,-,LC,-,LC,LC,-,1.0,0.0,1.0,1.0,0.0,1,0.0,1,1,0.0,
CCS,1C,CALIDAD EN LA CADENA DE SUMINISTRO,Profesor 2,-,13--14,12--13,14--16,9--10,-,LC,S4,LC,LC,0.0,1.133,0.971,1.133,1.133,0.0,1,100,1,1,
TGTI4,4C,TUTORIA GRUPAL E INDIVIDUAL,Profesor 2,-,-,13--14,-,15--16,-,-,S9,-,S9,0.0,0.0,0.825,0.0,0.825,0.0,0.0,1,0.0,1,
FEP,9A,FORMULACION Y EVALUACION DE PROYECTOS,Profesor 2,9--11,14--16,9--11,-,-,S3,S3,S3,-,-,0.829,0.829,0.829,0.0,0.0,1,1,1,0.0,0.0,
TGTI1,1B,TUTORIA GRUPAL E INDIVIDUAL,Profesor 3,16--17,-,14--15,-,-,LC,-,S9,-,-,1.0,0.0,0.75,0.0,0.0,100,0.0,1,0.0,0.0,
LP,4A,LOGISTICA DE LA PRODUCCION,Profesor 3,12--13,14--15,-,16--18,16--17,LL,LL,-,LL,LL,1.167,1.167,0.0,1.167,1.167,1,1,0.0,1,1,
LP,4B,LOGISTICA DE LA PRODUCCION,Profesor 3,18--19,18--19,-,13--14,12--14,LL,LL,-,LL,LL,1.0,1.0,0.0,1.0,1.0,1,1,0.0,1,1,
LP,4C,LOGISTICA DE LA PRODUCCION,Profesor 3,15--16,12--14,15--16,-,18--19,LL,LL,LL,-,LL,1.1,1.1,1.1,0.0,1.1,1,1,1,0.0,1,
TGTI9,9A,TUTORIA GRUPAL E INDIVIDUAL,Profesor 3,-,16--17,-,-,14--15,-,S3,-,-,S3,0.0,0.829,0.0,0.0,0.829,0.0,1,0.0,0.0,1,
TGTI1,1A,TUTORIA GRUPAL E INDIVIDUAL,Profesor 4,11--12,11--12,-,-,-,S6,S6,-,-,-,0.625,0.625,0.0,0.0,0.0,3,3,0.0,0.0,0.0,
TGTI4,4A,TUTORIA GRUPAL E INDIVIDUAL,Profesor 4,-,-,-,15--16,17--18,-,-,-,S9,S9,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,1,1,
IT,7A,INGENIERIA DE TRANSITO,Profesor 4,13--14,15--17,-,-,13--15,S7,S6,-,-,S9,1.025,0.854,0.0,0.0,1.025,2,1,0.0,0.0,4,
IT,7B,INGENIERIA DE TRANSITO,Profesor 4,16--18,-,16--17,14--15,16--17,S6,-,S6,S6,S7,0.833,0.0,0.833,0.833,1.0,1,0.0,1,1,2,
TU,9A,TRANSPORTE URBANO,Profesor 4,15--16,9--11,-,9--11,9--11,S3,S3,-,S3,S3,0.829,0.829,0.0,0.829,0.829,1,1,0.0,1,1,
FCS,1A,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,Profesor 5,15--16,14--15,13--14,16--17,14--15,S10,S6,S15,S10,S10,1.0,0.625,1.0,1.0,1.0,2,3,1,2,2,
FCS,1B,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,Profesor 5,14--15,-,11--12,14--16,13--14,S6,-,S6,S7,S6,0.625,0.0,0.625,0.75,0.625,1,0.0,1,3,1,
FCS,1C,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,Profesor 5,12--14,16--17,-,11--12,15--16,S9,S9,-,S9,LC,0.85,0.85,0.0,0.85,1.133,1,1,0.0,1,2,
FCS,1D,FUNDAMENTOS EN LA CADENA DEL SUMINISTRO,Profesor 5,16--17,15--16,15--17,-,16--17,S15,S15,S15,-,S15,0.833,0.833,0.833,0.0,0.833,1,1,1,0.0,1,
TGTI4,4B,TUTORIA GRUPAL E INDIVIDUAL,Profesor 5,-,17--18,18--19,-,-,-,S3,S3,-,-,0.0,0.857,0.857,0.0,0.0,0.0,2,2,0.0,0.0,
AL,1A,ALGEBRA LINEAL,Profesor 6,-,8--9,15--16,14--16,9--11,-,S6,S7,S10,S7,0.0,0.625,0.75,1.0,0.75,0.0,3,2,1,2,
AL,1B,ALGEBRA LINEAL,Profesor 6,7--9,-,12--13,8--9,15--17,S6,-,S10,S6,S10,0.625,0.0,1.0,0.625,1.0,1,0.0,2,1,2,
