Horario del salon 2
 
Hora/Dia,Lunes,Martes,Miercoles,Jueves,Viernes
7-8,PE-1C,PE-1C,APE-1C,,APE-1C,
8-9,PE-1C,PE-1C,,APE-1C,I1-1C,
9-10,I1-1C,I1-1C,I1-1C,I1-1C,,
10-11,I1-1C,I1-1C,I1-1C,I1-1C,VS-1C,
11-12,APE-1C,APE-1C,PE-1C,FCS-1C,AL-1C,
12-13,FCS-1C,,STFC-4C,AL-1C,AL-1C,
13-14,FCS-1C,VS-1B,TGTI4-4C,AL-1C,IT-7A,
14-15,TGTI1-1C,VS-1B,TGTI1-1B,CCS-1D,IT-7A,
15-16,VS-1C,STFC-4A,MCO-4A,TGTI4-4A,TGTI4-4C,
16-17,VS-1C,FCS-1C,MCO-4A,TGTI1-1C,,
17-18,,TIAT-4A,HP-4A,HP-4C,TGTI4-4A,
18-19,STFC-4A,TIAT-4A,STFC-4A,I7-7A,,
19-20,I4-4A,I4-4A,I4-4A,I4-4A,I4-4A,
20-21,,,,,,
